repo,entity,coupled,degree,average-revs
posx-comet-admin,src/routes/store-details/store-details-create/components/store-details-create-form/store-details-create-form.tsx,src/routes/store-details/store-details-create/constants.ts,85,7
posx-comet-admin,src/routes/campaign-coupons/coupon-create/components/basic-info-create-form/basic-info-create-form.tsx,src/routes/campaign-coupons/coupon-create/components/coupon-create-form/coupon-create-form.tsx,75,8
posx-comet-admin,src/components/layout/main-layout/main-layout.tsx,src/providers/router-provider/route-map.tsx,72,24
posx-comet-admin,src/routes/store-details/store-details-create/components/basic-info-create-form/basic-info-create-form.tsx,src/routes/store-details/store-details-create/constants.ts,70,9
posx-comet-admin,src/routes/store-details/store-edit/components/edit-store-form.tsx,src/routes/store-details/types.ts,70,9
posx-comet-admin,src/routes/employees/employee-create/components/basic-info-create-form/basic-info-create-form.tsx,src/routes/employees/employee-create/components/employee-create-form/employee-create-form.tsx,66,8
posx-comet-admin,src/routes/store-details/store-details-create/constants.ts,src/routes/store-details/types.ts,66,8
posx-comet-admin,.github/workflows/deploy-prod.yml,.github/workflows/deploy-uat.yml,66,8
posx-comet-admin,src/i18n/translations/$schema.json,src/i18n/translations/en.json,62,8
posx-comet-admin,src/hooks/api/auth.tsx,src/routes/employees/types.ts,59,14
posx-comet-admin,src/routes/employees/employee-create/components/basic-info-create-form/basic-info-create-form.tsx,src/routes/employees/employee-list/components/employee-list-table/employee-list-table.tsx,58,9
posx-comet-admin,src/hooks/api/employee.tsx,src/routes/employees/types.ts,57,11
posx-comet-admin,src/routes/campaign-coupons/coupon-create/components/store-allocation-form/store-allocation-form.tsx,src/routes/campaign-coupons/coupon-edit/components/edit-coupon-form.tsx,57,11
posx-comet-admin,src/routes/employees/employee-list/components/employee-list-table/employee-list-table.tsx,src/routes/employees/types.ts,57,11
posx-comet-admin,src/routes/store-details/store-details-create/constants.ts,src/routes/store-details/store-edit/components/edit-store-form.tsx,55,9
posx-comet-admin,src/routes/order-details/order-list/components/order-list-table/order-list-table.tsx,src/routes/order-details/types.ts,55,9
