repo,has_ci_config,workflow_count,workflow_files,any_workflow_runs_tests,all_workflows_deploy_only,triggers
posx-comet-admin,True,2,deploy-prod.yml;deploy-uat.yml,False,True,push
posx-comet-backend,True,4,deploy-dev.yml;deploy-prod.yml;deploy-uat.yml;deploy.yml,False,True,push;workflow_dispatch
posx-comet-store,True,2,deploy-prod.yml;deploy-uat.yml,False,True,push
posx-demo-admin,True,1,deploy.yml,False,True,push
posx-demo-backend,True,1,deploy.yml,False,True,push
posx-demo-store,True,1,deploy.yml,False,True,push
posx-eume-admin,True,3,deploy-prod.yml;deploy-uat.yml;deploy.yml,False,True,push;workflow_dispatch
posx-eume-backend,True,3,deploy-prod.yml;deploy-uat.yml;deploy.yml,False,True,push;workflow_dispatch
posx-eume-store,True,3,deploy-prod.yml;deploy-uat.yml;deploy.yml,False,True,push;workflow_dispatch
posx-frido-admin,True,4,deploy-dev.yml;deploy-prod.yml;deploy-uat.yml;deploy.yml,False,True,push;workflow_dispatch
posx-frido-b2b-admin,True,1,deploy.yml,False,True,push
posx-frido-b2b-backend,True,1,deploy.yml,False,True,push
posx-frido-b2b-store,True,1,deploy.yml,False,True,push
posx-frido-backend,True,3,deploy-prod.yml;deploy-uat.yml;deploy.yml,False,True,push;workflow_dispatch
posx-frido-mobility-admin,True,3,deploy-prod.yml;deploy-uat.yml;deploy.yml,False,True,push;workflow_dispatch
posx-frido-mobility-backend,True,3,deploy-prod.yml;deploy-uat.yml;deploy.yml,False,True,push;workflow_dispatch
posx-frido-mobility-store,True,3,deploy-prod.yml;deploy-uat.yml;deploy.yml,False,True,push;workflow_dispatch
posx-frido-store,True,3,deploy-prod.yml;deploy-uat.yml;deploy.yml,False,True,push;workflow_dispatch
posx-kb,False,0,,False,False,
posx-mokobara-admin,True,2,deploy-dev.yml;deploy.yml,False,True,push
posx-mokobara-backend,True,3,deploy-dev.yml;deploy.yml;quality.yml,True,False,pull_request;push;workflow_dispatch
posx-mokobara-clearance-backend,True,1,deploy.yml,False,True,push
posx-mokobara-store,True,2,deploy-dev.yml;deploy.yml,False,True,push
posx-ugaoo-admin,True,1,deploy.yml,False,True,push
posx-ugaoo-backend,True,3,deploy-dev.yml;deploy-prod.yml;deploy.yml,False,True,push;workflow_dispatch
posx-ugaoo-store,True,1,deploy.yml,False,True,push
