repo,file,function,nloc,ccn,tokens,params,length,start_line,end_line
posx-comet-admin,scripts/i18n/validate-translation.js,(anonymous),15,3,87,0,15,24,38
posx-comet-admin,scripts/i18n/generate-schema.js,(anonymous),4,1,17,0,4,24,27
posx-comet-admin,scripts/i18n/generate-schema.js,generateSchemaFromObject,20,5,99,1,27,9,35
posx-comet-admin,scripts/i18n/generate-schema.js,(anonymous),3,1,10,0,3,55,57
posx-comet-admin,scripts/i18n/generate-schema.js,(anonymous),4,1,18,0,4,58,61
posx-comet-admin,scripts/i18n/generate-schema.js,outputSchema,18,2,89,0,26,37,62
posx-comet-admin,scripts/generate-currencies.js,(anonymous),13,1,43,0,15,8,22
posx-comet-admin,scripts/generate-currencies.js,generateCurrencies,16,2,131,0,36,1,36
posx-comet-admin,scripts/generate-currencies.js,(anonymous),9,2,33,0,9,38,46
posx-comet-admin,scripts/generate-types.js,generateTypes,18,2,89,0,25,6,30
posx-comet-admin,scripts/generate-types.js,(anonymous),7,2,21,0,7,32,38
posx-comet-admin,src/providers/keybind-provider/hooks.tsx,useKeybind,7,2,27,0,9,12,20
posx-comet-admin,src/providers/keybind-provider/hooks.tsx,useRegisterShortcut,1,1,5,0,1,22,22
posx-comet-admin,src/providers/keybind-provider/hooks.tsx,(anonymous),1,1,8,0,1,36,36
posx-comet-admin,src/providers/keybind-provider/hooks.tsx,(anonymous),12,5,45,0,15,42,56
posx-comet-admin,src/providers/keybind-provider/hooks.tsx,(anonymous),2,1,6,0,2,66,67
posx-comet-admin,src/providers/keybind-provider/hooks.tsx,(anonymous),6,3,35,0,7,60,66
posx-comet-admin,src/providers/keybind-provider/hooks.tsx,(anonymous),1,1,9,0,1,85,85
posx-comet-admin,src/providers/keybind-provider/hooks.tsx,listener,13,4,52,1,18,70,87
posx-comet-admin,src/providers/keybind-provider/hooks.tsx,(anonymous),3,1,10,0,3,91,93
posx-comet-admin,src/providers/keybind-provider/hooks.tsx,(anonymous),5,1,19,0,26,69,94
posx-comet-admin,src/providers/keybind-provider/hooks.tsx,useShortcuts,20,2,115,3,72,24,95
posx-comet-admin,src/providers/keybind-provider/hooks.tsx,onSuccess,4,1,14,0,4,105,108
posx-comet-admin,src/providers/keybind-provider/hooks.tsx,handleLogout,5,1,17,0,8,103,110
posx-comet-admin,src/providers/keybind-provider/hooks.tsx,callback,2,1,8,0,2,306,307
posx-comet-admin,src/providers/keybind-provider/hooks.tsx,useGlobalShortcuts,200,1,809,0,215,97,311
posx-comet-admin,src/providers/keybind-provider/utils.ts,(anonymous),2,1,6,0,2,6,7
posx-comet-admin,src/providers/keybind-provider/utils.ts,(anonymous),60,13,350,0,76,17,92
posx-comet-admin,src/providers/keybind-provider/types.ts,callback,2,1,5,0,2,21,22
posx-comet-admin,src/providers/keybind-provider/keybind-context.tsx,KeybindContext,1,1,3,1,1,4,4
posx-comet-admin,src/providers/theme-provider/theme-provider.tsx,getDefaultValue,8,3,29,0,11,6,16
posx-comet-admin,src/providers/theme-provider/theme-provider.tsx,setTheme,6,1,31,1,8,35,42
posx-comet-admin,src/providers/theme-provider/theme-provider.tsx,(anonymous),23,3,90,0,34,44,77
posx-comet-admin,src/providers/theme-provider/theme-provider.tsx,(anonymous),11,1,69,0,54,31,84
posx-comet-admin,src/providers/theme-provider/theme-provider.tsx,getThemeValue,12,4,55,1,16,16,31
posx-comet-admin,src/providers/theme-provider/theme-context.tsx,setTheme,2,1,8,1,2,8,9
posx-comet-admin,src/providers/theme-provider/theme-context.tsx,ThemeContext,1,1,3,1,1,11,11
posx-comet-admin,src/providers/theme-provider/use-theme.tsx,useTheme,7,2,27,0,7,4,10
posx-comet-admin,src/providers/search-provider/search-context.tsx,SearchContext,1,1,3,1,1,9,9
posx-comet-admin,src/providers/search-provider/search-provider.tsx,toggleSearch,7,3,26,0,13,10,22
posx-comet-admin,src/providers/search-provider/search-provider.tsx,(anonymous),1,1,3,0,1,27,27
posx-comet-admin,src/providers/search-provider/search-provider.tsx,onKeyDown,5,4,35,1,5,25,29
posx-comet-admin,src/providers/search-provider/search-provider.tsx,(anonymous),3,1,10,0,3,33,35
posx-comet-admin,src/providers/search-provider/search-provider.tsx,(anonymous),5,1,19,0,13,24,36
posx-comet-admin,src/providers/search-provider/search-provider.tsx,SearchProvider,18,1,72,1,45,6,50
posx-comet-admin,src/providers/search-provider/use-search.tsx,useSearch,7,2,27,0,7,4,10
posx-comet-admin,src/providers/sidebar-provider/sidebar-context.tsx,SidebarContext,1,1,3,1,1,9,9
posx-comet-admin,src/providers/sidebar-provider/sidebar-provider.tsx,toggle,7,2,31,1,7,11,17
posx-comet-admin,src/providers/sidebar-provider/sidebar-provider.tsx,(anonymous),3,1,6,0,3,22,24
posx-comet-admin,src/providers/sidebar-provider/sidebar-provider.tsx,SidebarProvider,12,1,78,1,27,5,31
posx-comet-admin,src/providers/sidebar-provider/use-sidebar.tsx,useSidebar,7,2,27,0,9,4,12
posx-comet-admin,src/providers/access-control-provider/access-control-provider.tsx,normalizePermission,15,4,71,1,18,46,63
posx-comet-admin,src/providers/access-control-provider/access-control-provider.tsx,(anonymous),10,6,68,0,12,97,108
posx-comet-admin,src/providers/access-control-provider/access-control-provider.tsx,(anonymous),1,1,1,0,1,204,204
posx-comet-admin,src/providers/access-control-provider/access-control-provider.tsx,(anonymous),41,8,219,0,46,171,216
posx-comet-admin,src/providers/access-control-provider/access-control-provider.tsx,queryFn,58,25,302,0,108,124,231
posx-comet-admin,src/providers/access-control-provider/access-control-provider.tsx,reload,3,1,10,0,3,255,257
posx-comet-admin,src/providers/access-control-provider/access-control-provider.tsx,(anonymous),36,22,154,0,41,233,273
posx-comet-admin,src/providers/access-control-provider/access-control-provider.tsx,useAccessControlContext,9,2,30,0,11,282,292
posx-comet-admin,src/providers/access-control-provider/access-control-provider.tsx,useRouteAccess,4,2,24,1,4,294,297
posx-comet-admin,src/providers/access-control-provider/access-control-provider.tsx,AccessControlProvider,52,9,241,2,233,65,297
posx-comet-admin,src/providers/i18n-provider/i18n-provider.tsx,formatLocaleCode,3,1,16,1,3,8,10
posx-comet-admin,src/providers/i18n-provider/i18n-provider.tsx,(anonymous),1,1,8,0,1,16,16
posx-comet-admin,src/providers/i18n-provider/i18n-provider.tsx,I18nProvider,7,3,49,1,9,12,20
posx-comet-admin,src/providers/router-provider/route-map.tsx,createResourceAccess,6,1,27,2,6,27,32
posx-comet-admin,src/providers/router-provider/route-map.tsx,breadcrumb,2,1,9,0,2,113,114
