repo,file,total_ccn,max_ccn,function_count,total_nloc,n_revs,hotspot_score
posx-mokobara-backend,src/workflows/order-detail/steps/confirm-order-detail-step.ts,198,82,25,941,92,18216
posx-eume-store,src/components/app/product/cart-panel.tsx,330,103,50,872,48,15840
posx-mokobara-store,src/pages/exchanges/details.tsx,366,45,114,1411,37,13542
posx-mokobara-store,src/pages/inventory/mark-inventory.tsx,272,19,103,727,49,13328
posx-eume-store,src/components/app/home/index.tsx,291,59,47,738,41,11931
posx-eume-store,src/pages/exchanges/details.tsx,302,21,97,1143,39,11778
posx-mokobara-store,src/pages/products/details.tsx,374,61,118,1051,31,11594
posx-eume-store,src/pages/products/details.tsx,398,106,117,1277,28,11144
posx-comet-store,src/pages/products/details.tsx,262,107,61,788,41,10742
posx-frido-store,src/pages/online-orders/details/customer-details.tsx,370,93,48,1356,27,9990
posx-mokobara-store,src/pages/orders/details/customer-details.tsx,329,67,51,912,26,8554
posx-frido-store,src/pages/products/details.tsx,266,18,74,652,32,8512
posx-ugaoo-store,src/components/app/product/cart-panel.tsx,229,18,57,679,37,8473
posx-mokobara-backend,src/modules/pdf-client/service.ts,231,79,44,1050,35,8085
posx-ugaoo-backend,src/lib/helpers/build-summary.ts,255,34,69,879,31,7905
posx-mokobara-store,src/pages/returns/details.tsx,256,58,68,881,29,7424
posx-eume-backend,src/modules/pdf-client/service.ts,190,87,36,746,39,7410
posx-ugaoo-store,src/pages/exchanges/details.tsx,382,31,128,1301,19,7258
posx-eume-backend,src/workflows/exports/steps/generate-order-export-csv-step.ts,185,105,25,519,39,7215
posx-mokobara-store,src/components/app/product/AddToCartModal.tsx,238,16,76,684,30,7140
posx-eume-store,src/pages/online-orders/details/customer-details.tsx,383,95,53,1300,18,6894
posx-mokobara-store,src/components/app/product/cart-panel.tsx,143,55,26,387,48,6864
posx-comet-store,src/pages/online-orders/details/customer-details.tsx,284,88,70,1018,24,6816
posx-ugaoo-store,src/pages/cms/index.tsx,284,19,127,1065,22,6248
posx-eume-backend,src/modules/unicommerce/service.ts,283,16,51,1446,22,6226
posx-eume-backend,src/lib/helpers/build-summary.ts,125,28,33,418,46,5750
posx-mokobara-backend,src/lib/helpers/build-summary.ts,112,39,22,394,51,5712
posx-frido-backend,src/modules/unicommerce/service.ts,271,18,45,1227,21,5691
posx-ugaoo-store,src/pages/products/details.tsx,310,61,90,1055,18,5580
posx-comet-backend,src/modules/unicommerce/service.ts,157,16,33,939,35,5495
posx-comet-store,src/pages/returns/details.tsx,138,17,51,678,38,5244
posx-frido-store,src/components/app/product/AddToCartModal.tsx,202,17,53,448,23,4646
posx-mokobara-backend,src/workflows/order-detail/steps/create-order-detail-step.ts,109,60,15,386,41,4469
posx-frido-b2b-backend,src/jobs/inventory-snapshot.ts,250,229,17,916,17,4250
posx-eume-backend,src/workflows/order-detail/steps/create-order-detail-step.ts,107,68,17,505,39,4173
posx-eume-backend,src/workflows/online-order/steps/create-online-order-step.ts,106,71,17,511,38,4028
posx-mokobara-admin,src/routes/employees/employee-edit/components/edit-employee-form/edit-employee-form.tsx,161,32,31,288,25,4025
posx-comet-backend,src/workflows/payment-detail/steps/create-payment-detail.ts,110,89,12,679,36,3960
