repo,source,package,severity,id,fix_available
posx-comet-admin,osv-scanner,@babel/core,3.2,GHSA-4x5r-pxfx-6jf8,unknown
posx-comet-admin,osv-scanner,@babel/helpers,6.2,GHSA-968p-4wvh-cqc8,unknown
posx-comet-admin,osv-scanner,@babel/runtime,6.2,GHSA-968p-4wvh-cqc8,unknown
posx-comet-admin,osv-scanner,@remix-run/router,6.6,GHSA-2j2x-hqr9-3h42,unknown
posx-comet-admin,osv-scanner,@remix-run/router,8.0,GHSA-2w69-qvjg-hvjx,unknown
posx-comet-admin,osv-scanner,ajv,5.5,GHSA-2g4f-4pwh-qvx6,unknown
posx-comet-admin,osv-scanner,brace-expansion,7.7,GHSA-3jxr-9vmj-r5cp,unknown
posx-comet-admin,osv-scanner,brace-expansion,6.5,GHSA-f886-m6hf-6m8v,unknown
posx-comet-admin,osv-scanner,brace-expansion,7.5,GHSA-mh99-v99m-4gvg,unknown
posx-comet-admin,osv-scanner,brace-expansion,7.5,GHSA-rgw5-rvv9-x895,unknown
posx-comet-admin,osv-scanner,brace-expansion,3.1,GHSA-v6h2-p8h4-qcjw,unknown
posx-comet-admin,osv-scanner,browserslist,7.5,GHSA-73wf-gq98-2v4g,unknown
posx-comet-admin,osv-scanner,browserslist,7.5,GHSA-c83g-rgw3-j3cx,unknown
posx-comet-admin,osv-scanner,esbuild,5.3,GHSA-67mh-4wv8-2f99,unknown
posx-comet-admin,osv-scanner,fast-uri,7.5,GHSA-4c8g-83qw-93j6,unknown
posx-comet-admin,osv-scanner,fast-uri,7.5,GHSA-7p8r-x3mc-p8w7,unknown
posx-comet-admin,osv-scanner,fast-uri,7.5,GHSA-f65p-4m7j-42xc,unknown
posx-comet-admin,osv-scanner,fast-uri,7.5,GHSA-jqff-g426-hqxp,unknown
posx-comet-admin,osv-scanner,fast-uri,7.5,GHSA-q3j6-qgpj-74h6,unknown
posx-comet-admin,osv-scanner,fast-uri,7.5,GHSA-v2hh-gcrm-f6hx,unknown
posx-comet-admin,osv-scanner,fast-uri,7.5,GHSA-v39h-62p7-jpjc,unknown
