repo,package,current,wanted,latest
posx-comet-admin,@ariakit/react,0.4.15,0.4.39,0.4.39
posx-comet-admin,@dnd-kit/sortable,8.0.0,8.0.0,10.0.0
posx-comet-admin,@hookform/resolvers,3.4.2,3.4.2,5.9.1
posx-comet-admin,@medusajs/admin-shared,2.6.0,2.20.1,2.20.1
posx-comet-admin,@medusajs/admin-vite-plugin,2.6.0,2.20.1,2.20.1
posx-comet-admin,@medusajs/icons,2.11.1,2.20.1,2.20.1
posx-comet-admin,@medusajs/js-sdk,2.6.0,2.20.1,2.20.1
posx-comet-admin,@medusajs/types,2.6.0,2.20.1,2.20.1
posx-comet-admin,@medusajs/ui,4.0.6,4.0.34,4.2.3
posx-comet-admin,@medusajs/ui-preset,2.6.0,2.20.1,2.20.1
posx-comet-admin,@tanstack/react-query,5.64.2,5.64.2,5.102.8
posx-comet-admin,@tanstack/react-table,8.20.5,8.20.5,9.2.4
posx-comet-admin,@tanstack/react-virtual,3.13.2,3.14.10,3.14.10
posx-comet-admin,@types/node,20.17.24,20.19.43,26.4.1
posx-comet-admin,@types/react,18.3.18,18.3.31,19.2.18
posx-comet-admin,@types/react-dom,18.3.5,18.3.7,19.2.7
posx-comet-admin,@uiw/react-json-view,2.0.0-alpha.30,2.0.0-alpha.43,2.0.0-alpha.43
posx-comet-admin,@vitejs/plugin-react,4.2.1,4.2.1,6.1.1
posx-comet-admin,ajv,8.17.1,8.20.0,8.20.0
posx-comet-admin,autoprefixer,10.4.21,10.5.4,10.5.4
posx-comet-admin,cmdk,0.2.1,0.2.1,1.1.1
posx-comet-admin,date-fns,3.6.0,3.6.0,4.4.0
posx-comet-admin,i18next,23.7.11,23.7.11,26.4.2
posx-comet-admin,i18next-browser-languagedetector,7.2.0,7.2.0,8.2.1
posx-comet-admin,i18next-http-backend,2.4.2,2.4.2,4.0.2
posx-comet-admin,lodash,4.17.21,4.18.1,4.18.1
posx-comet-admin,match-sorter,6.3.4,6.3.4,8.3.0
posx-comet-admin,motion,11.18.2,11.18.2,13.2.0
posx-comet-admin,postcss,8.5.3,8.5.28,8.5.28
posx-comet-admin,prettier,3.5.3,3.9.6,3.9.6
posx-comet-admin,qs,6.14.0,6.16.0,6.16.0
posx-comet-admin,radix-ui,1.1.2,1.1.2,1.6.7
posx-comet-admin,react,18.3.1,18.3.1,19.2.8
posx-comet-admin,react-currency-input-field,3.10.0,3.10.0,4.0.6
posx-comet-admin,react-dom,18.3.1,18.3.1,19.2.8
posx-comet-admin,react-helmet-async,2.0.5,2.0.5,3.0.0
posx-comet-admin,react-hook-form,7.49.1,7.49.1,7.87.0
posx-comet-admin,react-i18next,13.5.0,13.5.0,17.0.13
posx-comet-admin,react-jwt,1.2.2,1.3.0,2.1.1
posx-comet-admin,react-router-dom,6.20.1,6.20.1,7.18.3
posx-comet-admin,tailwindcss,3.4.17,3.4.19,4.3.3
posx-comet-admin,tsup,8.4.0,8.5.1,8.5.1
posx-comet-admin,typescript,5.2.2,5.2.2,7.0.2
posx-comet-admin,vite,5.4.14,5.4.21,8.2.2
posx-comet-admin,vite-plugin-inspect,0.8.9,0.8.9,12.0.2
posx-comet-admin,vitest,3.0.8,3.2.7,5.0.0
posx-comet-admin,zod,3.22.4,3.22.4,4.5.4
posx-comet-backend,@aws-sdk/client-s3,3.1102.0,3.1126.0,3.1126.0
posx-comet-backend,@aws-sdk/client-ses,3.758.0,3.1126.0,3.1126.0
posx-comet-backend,@aws-sdk/lib-storage,3.1102.0,3.1126.0,3.1126.0
posx-comet-backend,@aws-sdk/s3-request-presigner,3.1102.0,3.1126.0,3.1126.0
posx-comet-backend,@devxcommerce/shopify,0.0.111,0.0.111,0.0.117
posx-comet-backend,@medusajs/admin-sdk,2.6.1,2.20.1,2.20.1
posx-comet-backend,@medusajs/cli,2.6.1,2.20.1,2.20.1
posx-comet-backend,@medusajs/framework,2.6.1,2.20.1,2.20.1
posx-comet-backend,@medusajs/medusa,2.6.1,2.20.1,2.20.1
posx-comet-backend,@medusajs/test-utils,2.6.0,2.6.0,2.20.1
posx-comet-backend,@mikro-orm/cli,6.4.3,6.4.3,7.1.15
posx-comet-backend,@mikro-orm/core,6.4.3,6.4.3,7.1.15
posx-comet-backend,@mikro-orm/knex,6.4.3,6.4.3,6.6.14
posx-comet-backend,@mikro-orm/migrations,6.4.3,6.4.3,7.1.15
posx-comet-backend,@mikro-orm/postgresql,6.4.3,6.4.3,7.1.15
posx-comet-backend,@slack/web-api,7.17.0,7.19.0,8.1.1
posx-comet-backend,@swc/core,1.5.7,1.5.7,1.16.1
posx-comet-backend,@swc/jest,0.2.37,0.2.39,0.2.39
posx-comet-backend,@types/jest,29.5.14,29.5.14,30.0.0
posx-comet-backend,@types/node,20.17.16,20.19.43,26.4.1
posx-comet-backend,@types/react,18.3.18,18.3.31,19.2.18
posx-comet-backend,@types/react-dom,18.3.5,18.3.7,19.2.7
posx-comet-backend,awilix,8.0.1,8.0.1,13.0.5
posx-comet-backend,axios,1.18.0,1.20.0,1.20.0
posx-comet-backend,cors,2.8.5,2.8.6,2.8.6
posx-comet-backend,csv-parse,5.6.0,5.6.0,7.0.2
posx-comet-backend,ejs,3.1.10,3.1.10,6.0.1
posx-comet-backend,jest,29.7.0,29.7.0,30.5.1
posx-comet-backend,nodemailer,6.10.0,6.10.1,9.1.1
posx-comet-backend,pg,8.13.1,8.23.0,8.23.0
posx-comet-backend,prettier,3.5.3,3.9.6,3.9.6
posx-comet-backend,prettier-plugin-tailwindcss,0.6.11,0.6.14,0.8.1
posx-comet-backend,puppeteer,24.4.0,24.43.1,25.10.0
posx-comet-backend,razorpay,2.9.6,2.9.8,2.9.8
posx-comet-backend,react,18.3.1,18.3.1,19.2.8
posx-comet-backend,react-dom,18.3.1,18.3.1,19.2.8
posx-comet-backend,typescript,5.7.3,5.9.3,7.0.2
posx-comet-backend,vite,5.4.14,5.4.21,8.2.2
posx-comet-store,error,?,?,?
posx-demo-admin,@ariakit/react,0.4.15,0.4.39,0.4.39
posx-demo-admin,@dnd-kit/sortable,8.0.0,8.0.0,10.0.0
posx-demo-admin,@hookform/resolvers,3.4.2,3.4.2,5.9.1
posx-demo-admin,@medusajs/admin-shared,2.6.0,2.20.1,2.20.1
posx-demo-admin,@medusajs/admin-vite-plugin,2.6.0,2.20.1,2.20.1
posx-demo-admin,@medusajs/icons,2.6.0,2.20.1,2.20.1
posx-demo-admin,@medusajs/js-sdk,2.6.0,2.20.1,2.20.1
posx-demo-admin,@medusajs/types,2.6.0,2.20.1,2.20.1
posx-demo-admin,@medusajs/ui,4.0.6,4.0.34,4.2.3
posx-demo-admin,@medusajs/ui-preset,2.6.0,2.20.1,2.20.1
posx-demo-admin,@tanstack/react-query,5.64.2,5.64.2,5.102.8
posx-demo-admin,@tanstack/react-table,8.20.5,8.20.5,9.2.4
posx-demo-admin,@tanstack/react-virtual,3.13.2,3.14.10,3.14.10
posx-demo-admin,@types/node,20.17.24,20.19.43,26.4.1
posx-demo-admin,@types/react,18.3.18,18.3.31,19.2.18
posx-demo-admin,@types/react-dom,18.3.5,18.3.7,19.2.7
posx-demo-admin,@uiw/react-json-view,2.0.0-alpha.30,2.0.0-alpha.43,2.0.0-alpha.43
posx-demo-admin,@vitejs/plugin-react,4.2.1,4.2.1,6.1.1
posx-demo-admin,ajv,8.17.1,8.20.0,8.20.0
posx-demo-admin,autoprefixer,10.4.21,10.5.4,10.5.4
posx-demo-admin,cmdk,0.2.1,0.2.1,1.1.1
posx-demo-admin,date-fns,3.6.0,3.6.0,4.4.0
posx-demo-admin,i18next,23.7.11,23.7.11,26.4.2
posx-demo-admin,i18next-browser-languagedetector,7.2.0,7.2.0,8.2.1
posx-demo-admin,i18next-http-backend,2.4.2,2.4.2,4.0.2
