month,total_commits,delivery,correction,code_health,ops_config,data_schema,housekeeping,other
2025-03,412,0.4976,0.1626,0.0898,0.0049,0.0073,0.0073,0.2306
2025-04,383,0.2846,0.2742,0.0339,0.0078,0.0078,0.0052,0.3864
2025-05,112,0.1875,0.2232,0.0357,0.1875,0.0,0.0089,0.3571
2025-06,46,0.2391,0.2391,0.0217,0.087,0.0,0.0217,0.3913
2025-07,64,0.1875,0.2656,0.0312,0.0,0.0,0.0,0.5156
2025-08,233,0.1416,0.2318,0.0043,0.0901,0.0086,0.0,0.5236
2025-09,251,0.2351,0.2311,0.1076,0.0438,0.012,0.004,0.3665
2025-10,244,0.2787,0.1598,0.082,0.0205,0.0205,0.0123,0.4262
2025-11,455,0.3121,0.2769,0.0901,0.0527,0.011,0.0044,0.2527
2025-12,465,0.3677,0.2215,0.1226,0.0559,0.043,0.0043,0.1849
2026-01,554,0.3971,0.2365,0.1083,0.0415,0.009,0.0054,0.2022
2026-02,278,0.5,0.2986,0.0755,0.0504,0.0,0.0,0.0755
2026-03,328,0.3354,0.2561,0.0274,0.0976,0.003,0.003,0.2774
2026-04,783,0.2912,0.3921,0.0409,0.1098,0.0064,0.0358,0.1239
2026-05,434,0.3871,0.4401,0.0507,0.0576,0.0023,0.0115,0.0507
2026-06,431,0.5104,0.3039,0.0998,0.0023,0.0,0.0418,0.0418
2026-07,744,0.4261,0.3495,0.0618,0.1277,0.0,0.0202,0.0148
2026-08,786,0.2595,0.5242,0.1387,0.0165,0.0025,0.0229,0.0356
2026-09,134,0.3881,0.4925,0.0149,0.0896,0.0,0.0,0.0149
