repo,linter,ran,error_count,warning_count,files_with_issues,top_rules,skip_reason
posx-comet-admin,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-comet-backend,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-comet-store,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-demo-admin,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-demo-backend,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-demo-store,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-eume-admin,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-eume-backend,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-eume-store,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-frido-admin,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-frido-b2b-admin,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-frido-b2b-backend,eslint,True,259,0,104,@typescript-eslint/no-explicit-any:145;@typescript-eslint/ban-ts-comment:58;@typescript-eslint/no-unused-vars:45;prefer-const:5;@typescript-eslint/no-non-null-asserted-optional-chain:5,
posx-frido-b2b-store,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-frido-backend,eslint,True,568,13,228,@typescript-eslint/no-explicit-any:368;@typescript-eslint/ban-ts-comment:102;@typescript-eslint/no-unused-vars:85;prefer-const:8;@typescript-eslint/no-require-imports:2,
posx-frido-mobility-admin,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-frido-mobility-backend,eslint,True,389,0,168,@typescript-eslint/no-explicit-any:211;@typescript-eslint/ban-ts-comment:91;@typescript-eslint/no-unused-vars:75;prefer-const:5;@typescript-eslint/no-non-null-asserted-optional-chain:5,
posx-frido-mobility-store,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-frido-store,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-kb,eslint,True,4,2,6,react-hooks/set-state-in-effect:3;@typescript-eslint/no-unused-vars:2;react-hooks/purity:1,
posx-mokobara-admin,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-mokobara-backend,eslint,True,2634,127,560,@typescript-eslint/no-explicit-any:1824;@typescript-eslint/ban-ts-comment:247;@typescript-eslint/no-unused-vars:196;no-restricted-syntax:139;@typescript-eslint/no-non-null-assertion:127,
posx-mokobara-clearance-backend,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-mokobara-store,eslint,True,192,39,83,@typescript-eslint/no-explicit-any:183;react-hooks/exhaustive-deps:31;@typescript-eslint/no-unused-vars:6;react-refresh/only-export-components:3;no-unsafe-optional-chaining:2,
posx-ugaoo-admin,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-ugaoo-backend,eslint,False,0,0,0,,eslint not in node_modules/.bin
posx-ugaoo-store,eslint,True,119,37,61,@typescript-eslint/no-explicit-any:106;react-hooks/exhaustive-deps:30;@typescript-eslint/no-unused-vars:7;react-refresh/only-export-components:5;@typescript-eslint/ban-ts-comment:4,
