repo,risk_score,escape_count,top5_hotspot_sum,exact_dup_file_count,ci_gate_missing,test_failure_rate,security_findings,bus_factor_top_author_share
posx-comet-backend,0.5782,801,16233.0,245,True,0.5,24,0.2821
posx-mokobara-store,0.5569,740,54442.0,107,True,0.0,1,0.3242
posx-mokobara-backend,0.5307,979,40200.0,252,False,0.0,29,0.3913
posx-mokobara-admin,0.5218,267,11542.0,1634,True,1.0,1,0.3866
posx-comet-store,0.512,917,29891.0,123,True,0.0,0,0.2774
posx-eume-store,0.4394,235,57587.0,224,True,0.0,0,0.1995
posx-frido-backend,0.4362,666,17015.0,486,True,0.0,0,0.3141
posx-eume-admin,0.4278,41,4375.0,1653,True,1.0,0,0.1975
posx-demo-admin,0.42,1,835.0,1669,True,1.0,0,0.4667
posx-frido-mobility-admin,0.4188,0,1133.0,1731,True,1.0,0,0.3182
posx-eume-backend,0.4051,361,30774.0,375,True,0.056,1,0.2995
posx-ugaoo-backend,0.3931,353,21636.0,248,True,0.008,11,0.3646
posx-ugaoo-store,0.3783,336,31321.0,126,True,0.0,1,0.3967
posx-comet-admin,0.3735,164,5790.0,1667,True,0.0,0,0.3607
posx-ugaoo-admin,0.3599,91,7237.0,1520,True,0.086,0,0.4432
posx-frido-admin,0.3505,41,5591.0,1715,True,0.056,0,0.3483
posx-frido-b2b-admin,0.3428,30,1412.0,1653,True,0.0,0,0.7619
posx-frido-store,0.3426,196,29514.0,254,True,0.0,2,0.2335
posx-frido-b2b-store,0.255,25,9417.0,257,True,0.0,0,0.8906
posx-frido-b2b-backend,0.2477,23,7089.0,335,True,0.0,0,0.7833
posx-mokobara-clearance-backend,0.2389,23,2206.0,260,True,0.0,2,0.94
posx-kb,0.2345,0,316.0,0,True,0.0,10,1.0
posx-frido-mobility-backend,0.233,31,2544.0,541,True,0.0,0,0.4078
posx-demo-backend,0.2069,7,1035.0,358,True,0.0,0,0.4324
posx-frido-mobility-store,0.2067,5,5253.0,299,True,0.0,0,0.2453
posx-demo-store,0.191,0,2146.0,235,True,0.0,0,0.2857
